Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,spark_parent_survey,,text,Record ID,,,,,,,,,,,,,
consent,spark_parent_survey,How parents first notice developmental change,checkbox,"I am at least 18, the parent or legal guardian of the SPARK participant, and I agree to take part. I understand that de-identified responses may be shared with other researchers under SPARK's data-sharing rules.","1, I agree",,,,,,,y,,,,,
sex,spark_parent_survey,,radio,What is the sex of your child?,"1, Male | 2, Female",,,,,,,y,,,,,
state,spark_parent_survey,,dropdown,What US state do you live in?,"1, AL | 2, AK | 3, AZ | 4, AR | 5, CA | 6, CO | 7, CT | 8, DE | 9, DC | 10, FL | 11, GA | 12, HI | 13, ID | 14, IL | 15, IN | 16, IA | 17, KS | 18, KY | 19, LA | 20, ME | 21, MD | 22, MA | 23, MI | 24, MN | 25, MS | 26, MO | 27, MT | 28, NE | 29, NV | 30, NH | 31, NJ | 32, NM | 33, NY | 34, NC | 35, ND | 36, OH | 37, OK | 38, OR | 39, PA | 40, RI | 41, SC | 42, SD | 43, TN | 44, TX | 45, UT | 46, VT | 47, VA | 48, WA | 49, WV | 50, WI | 51, WY | 52, Other",,,,,,,y,,,,,
change_type,spark_parent_survey,,radio,Which best describes how your child's autism-related differences first appeared?,"1, A sudden, dramatic change over about two weeks or less, after developing normally | 2, A noticeable change over a few weeks to a couple of months | 3, Gradual - differences were always there or emerged slowly | 4, Not sure",,,,,,,y,,,,,
how_long_ago,spark_parent_survey,When it happened,radio,"How long ago did you notice the sudden change (the ""onset date"")?","1, Within 3 months | 2, 3-6 months ago | 3, 6 months to 1 year ago | 4, 1-2 years ago | 5, 2-5 years ago | 6, More than 5 years ago",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
onset_date,spark_parent_survey,,text,"If you remember the exact or approximate calendar date of onset, enter it. Otherwise leave blank.",,,date_mdy,,,,[change_type] = '1' or [change_type] = '2',,,,,,
onset_dow,spark_parent_survey,,radio,"Do you remember the day of the week onset happened, or whether it was a weekday or weekend?","1, Don't remember | 2, Monday | 3, Tuesday | 4, Wednesday | 5, Thursday | 6, Friday | 7, Saturday | 8, Sunday | 9, It was a weekday | 10, It was a weekend",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
age_onset_months,spark_parent_survey,,text,"Your child's age in months at onset (e.g., 18)",,,integer,0,72,,[change_type] = '1' or [change_type] = '2',y,,,,,
date_evidence,spark_parent_survey,,checkbox,What is your memory of the onset timing based on? Check all that apply.,"1, Memory alone | 2, Calendar or diary | 3, Photos or videos with dates | 4, Texts, emails, or patient-portal messages | 5, Daycare or school notes | 6, A doctor's record | 7, Social-media post | 8, Other",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
sequence,spark_parent_survey,In your own words,notes,Briefly describe the chain of events in the 15 days before onset that you think might be relevant. Use (0) as the first reference day.,,Example: birthday party (0) -> illness (1) -> fever (2) -> high-pitched screaming for 12 hours (2) -> lost eye contact (4).,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
